0,1,2
45,"[0.25105342 0.11833843 0.18012936 0.26044542 0.15945876 0.03610057
 0.01939118 0.02544959 0.07269761 0.0251997  0.0238186  0.00589621
 0.05272342 0.01935427 0.00553282 0.01512637 0.09607922 0.02656492
 0.04049759 0.01414831 0.02832147 0.02334076 0.02380852 0.01928288
 0.01020965 0.00096575 0.00408035 0.00526727 0.03148528 0.02234399
 0.03744489 0.0042035  0.00440118 0.04552269 0.00205683 0.00427021
 0.00237687 0.00593357 0.0097245  0.00580481 0.01152745 0.01578558
 0.00127177 0.01464364 0.00080881 0.0106165  0.03542436 0.00876029
 0.00392085 0.00458994 0.13158694 0.04368563 0.09891926 0.21584985
 0.01735477 0.06531557 0.00198363 0.01628339 0.02861243 0.02227409
 0.0397804  0.00915332 0.0196717  0.01102398 0.0157661  0.00490142
 0.04876214 0.0578132  0.00590896 0.00753547 0.28454712 0.00866346
 0.01471653 0.08902873 0.00893118 0.00456134 0.11443068 0.00502037
 0.02150871 0.20591837 0.03450215 0.00779516 0.05947395 0.0017443
 0.00700172 0.00083352 0.0233727  0.00592875 0.0018192  0.00148559
 0.00169106 0.00232793 0.00368933 0.01692398 0.00604892 0.0010703
 0.02896589 0.01765934 0.00070543 0.00303884]",[16]
1332,"[0.19305469 0.13402029 0.06762988 0.0879662  0.0949341  0.06893364
 0.05186682 0.01485685 0.02890105 0.05161758 0.01500369 0.04362955
 0.01752229 0.01174089 0.05275471 0.05046841 0.0304914  0.01106748
 0.02433675 0.06899951 0.03722843 0.02110565 0.00729148 0.03007615
 0.01440049 0.0267311  0.0409546  0.03629369 0.02713919 0.01172649
 0.05560655 0.00861247 0.00967519 0.01200963 0.02524923 0.00668876
 0.01758922 0.00729073 0.00514004 0.00706389 0.0176103  0.01324368
 0.02734683 0.03536795 0.02847189 0.00712901 0.01336287 0.0054719
 0.01097779 0.00402043 0.17571197 0.0663487  0.06782114 0.09317895
 0.06998737 0.0699547  0.02470134 0.01276579 0.02999553 0.13184983
 0.01672625 0.02593488 0.01982739 0.01165771 0.04539243 0.03664828
 0.03366296 0.01827169 0.0198299  0.02293819 0.07944787 0.01708779
 0.00967149 0.04345117 0.03113414 0.02506929 0.07882369 0.02493364
 0.02229242 0.03849596 0.04202646 0.00918174 0.02225351 0.02039764
 0.01867738 0.00370342 0.03207519 0.0106637  0.00385772 0.00367121
 0.01925768 0.01170714 0.01570828 0.02952596 0.02212913 0.00691529
 0.01327261 0.00691504 0.01105311 0.00305809]","[5518, 1352, 1082, 754, 39]"
1338,"[0.18566617 0.08497446 0.10162145 0.1584689  0.03755249 0.11671139
 0.00445317 0.01487684 0.03429088 0.05765212 0.04117863 0.01211611
 0.02883559 0.01590413 0.04516735 0.02045262 0.03918046 0.04953651
 0.01146206 0.01978135 0.16650536 0.01589578 0.01564339 0.05646491
 0.00916748 0.01835373 0.04052446 0.01601441 0.03333348 0.10241213
 0.03166695 0.01394327 0.02760411 0.00371915 0.02136159 0.00101149
 0.03540174 0.01458971 0.00340817 0.00231157 0.00259205 0.00327256
 0.00900673 0.03747355 0.01821821 0.00522675 0.02242501 0.01940506
 0.00176233 0.00250942 0.18305551 0.06544277 0.07590801 0.09685642
 0.10410577 0.06020583 0.03777862 0.01440744 0.03662942 0.08045136
 0.01703808 0.0300725  0.02791853 0.01109779 0.04605003 0.03957304
 0.03809886 0.01638245 0.03005643 0.02116898 0.05198259 0.01762152
 0.01087211 0.0504138  0.03302142 0.02440696 0.06206392 0.02583026
 0.04392063 0.02657765 0.05789349 0.00722185 0.01724876 0.0252863
 0.0171548  0.00450314 0.02292706 0.00875496 0.00499719 0.003886
 0.01757098 0.01718127 0.01488814 0.03399259 0.0262447  0.01440626
 0.01188892 0.00670591 0.01960688 0.00258079]","[4824, 3292, 1496, 3780, 4916]"
1339,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.20522334 0.05386108 0.07993862 0.10852182
 0.04615226 0.04187342 0.00813655 0.01396494 0.03885776 0.05968418
 0.01249965 0.14216122 0.01674306 0.01059921 0.03304636 0.0186695
 0.04362793 0.01277185 0.01372576 0.02367241 0.06440265 0.01777469
 0.00804992 0.02861975 0.12134147 0.01486269 0.07170147 0.03622162
 0.01503974 0.02279205 0.03319103 0.00580799 0.01202673 0.00552652
 0.01588804 0.00262172 0.02314418 0.00688441 0.00266115 0.00368286
 0.01101769 0.00424633 0.05346306 0.02309537 0.01231825 0.00250469
 0.01692857 0.00474294 0.00246499 0.00356609]",[]
1345,"[0.19892491 0.19163428 0.01905484 0.01347086 0.00308809 0.24812767
 0.01062696 0.00318387 0.00535095 0.03580491 0.00502259 0.00203465
 0.00258953 0.00644695 0.09998563 0.28428626 0.00383056 0.0053188
 0.00091007 0.07569919 0.04686791 0.01097932 0.0022729  0.00261859
 0.00652231 0.03262033 0.11976033 0.01879473 0.00049675 0.00688419
 0.00325012 0.0290579  0.01366693 0.00095499 0.11985046 0.00341035
 0.03319551 0.00581701 0.00474169 0.00666179 0.055652   0.00049888
 0.00414626 0.01556493 0.03557411 0.01501813 0.00291688 0.00236983
 0.00109894 0.00342179 0.13682997 0.04684345 0.06079676 0.08685052
 0.12257407 0.05401469 0.02951052 0.01238654 0.02243732 0.11339601
 0.01786941 0.01622424 0.04605757 0.00889952 0.03767533 0.02993531
 0.02759023 0.02005777 0.03798461 0.01960483 0.06825052 0.0134376
 0.01566916 0.0722115  0.03569009 0.02078712 0.06388281 0.017595
 0.06205297 0.03593885 0.06104099 0.0065424  0.02540655 0.02721191
 0.01491792 0.00416297 0.01848989 0.00888037 0.003579   0.00307364
 0.01741565 0.01600014 0.01117244 0.02982949 0.02415948 0.00474656
 0.01175641 0.00648031 0.01379273 0.00260092]",[3560]
1362,"[0.05944722 0.04307949 0.07304537 0.21198303 0.1051418  0.07060209
 0.00933064 0.02113417 0.01258034 0.10619019 0.02939774 0.0015126
 0.02725519 0.01214327 0.00415566 0.01409828 0.04893215 0.02513614
 0.02588279 0.00227754 0.05922851 0.00334911 0.01480206 0.01382632
 0.003896   0.02678423 0.14563589 0.00097402 0.03124824 0.02463582
 0.10425549 0.00843232 0.00524346 0.01827234 0.00169586 0.00200566
 0.00582446 0.00845215 0.00406664 0.00290636 0.00316905 0.01074865
 0.00046921 0.00372157 0.00977584 0.00311172 0.03195779 0.00945045
 0.00351778 0.00284885 0.17529772 0.07629809 0.07286916 0.09899775
 0.06853722 0.0626859  0.02158068 0.01360506 0.03251802 0.08589078
 0.0163518  0.04954071 0.02036696 0.01259487 0.03766715 0.04669988
 0.03532257 0.01680461 0.01949183 0.02848711 0.06981763 0.01882579
 0.00987134 0.04540768 0.03894809 0.02541797 0.05621735 0.02499131
 0.02262087 0.0327684  0.04750699 0.00785826 0.01827779 0.0293458
 0.0187309  0.0038936  0.028588   0.01066109 0.00441761 0.00390659
 0.01669593 0.01238332 0.02139551 0.02941156 0.02008484 0.00973784
 0.01498841 0.00653762 0.00733155 0.00320459]",[3914]
1363,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.20128913 0.05939127 0.08490491 0.11816854
 0.05846812 0.05924291 0.00778967 0.01568034 0.0396587  0.05508685
 0.01918909 0.11399274 0.02552042 0.00986079 0.03241765 0.01705463
 0.04433597 0.01698452 0.01741304 0.01907111 0.06306497 0.01596539
 0.01037308 0.05805602 0.09320896 0.01098014 0.04764278 0.0326187
 0.04745977 0.02495647 0.04436605 0.0073152  0.01429975 0.00427972
 0.01274629 0.00228784 0.02593085 0.00877065 0.0029844  0.00337778
 0.00953748 0.00464952 0.04311749 0.0316888  0.01143992 0.00243302
 0.01784905 0.00669532 0.00262697 0.00324541]",[]
1365,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.16852219 0.07486434 0.07284862 0.10092654
 0.09398529 0.0736789  0.03323444 0.01403709 0.0308669  0.10082501
 0.01816335 0.02032554 0.03123279 0.0106607  0.03919039 0.04153587
 0.03695438 0.01833618 0.0279776  0.0218879  0.06820437 0.01692861
 0.01224235 0.06070263 0.02823825 0.0218088  0.05846935 0.01787833
 0.04214326 0.03190055 0.05080557 0.00919637 0.02185609 0.02464301
 0.01728872 0.00434206 0.02198725 0.00944176 0.00480544 0.00398927
 0.02244358 0.01419597 0.00986193 0.02951185 0.02350199 0.01015776
 0.01474948 0.00700805 0.01246729 0.00326142]",[]
1367,"[0.15232975 0.1378155  0.05065643 0.06279168 0.0099216  0.1701571
 0.01104448 0.00864021 0.01527445 0.07480116 0.02780333 0.00588392
 0.01169835 0.01730057 0.05096038 0.07155966 0.01467026 0.03242758
 0.00325593 0.0380493  0.15819214 0.02383005 0.00870402 0.04217473
 0.00405161 0.02234099 0.15606905 0.01383066 0.00841319 0.06726563
 0.0112531  0.02467188 0.03772575 0.00354063 0.03441073 0.00123395
 0.0440708  0.01885023 0.00470722 0.00257216 0.0055608  0.00116536
 0.00607483 0.02902731 0.01860507 0.0246904  0.00761999 0.01379529
 0.00289218 0.00203099 0.16624941 0.07411471 0.06936369 0.0975144
 0.09002683 0.0784093  0.02989793 0.01423178 0.0282638  0.09903136
 0.0178003  0.02999131 0.02389917 0.01172092 0.03966722 0.03826956
 0.03318073 0.01917487 0.02676087 0.01669361 0.08045282 0.01762529
 0.01128559 0.04306661 0.01699423 0.02432811 0.06849164 0.01661062
 0.03288756 0.03623586 0.0433962  0.01036777 0.02203027 0.03589442
 0.01700781 0.00412885 0.03386657 0.01068557 0.00453463 0.00377279
 0.01555531 0.0133456  0.01097966 0.0295831  0.02155976 0.01041898
 0.01446035 0.00689495 0.0118786  0.00316403]","[3083, 3084]"
1374,"[3.52699831e-02 1.00921206e-01 1.37436856e-02 2.21088007e-02
 4.96609323e-03 2.51521885e-01 7.25789554e-03 7.96312094e-03
 1.79626211e-03 4.37564582e-01 1.02807917e-02 1.84333985e-04
 1.02297133e-02 9.06354841e-03 7.66169373e-03 1.27072290e-01
 3.19213327e-03 1.67729463e-02 1.77499978e-03 6.36570668e-03
 9.73091125e-02 7.20511563e-03 8.28787033e-03 7.57417083e-03
 1.53267384e-03 5.19441105e-02 8.54366720e-02 4.60101495e-04
 1.46190322e-03 2.27024630e-02 3.60164372e-03 3.63722816e-02
 9.82312672e-03 2.89019942e-03 1.71316229e-02 2.01910082e-03
 2.83356216e-02 2.11225320e-02 4.63423785e-03 4.25043050e-03
 1.34213101e-02 5.86271286e-04 1.69191102e-04 2.13181973e-03
 2.32535638e-02 1.14124482e-02 4.99522034e-03 4.05310933e-03
 1.04237359e-03 4.07209061e-03 1.86739431e-01 7.16191090e-02
 8.02043704e-02 1.07478479e-01 9.89261179e-02 6.66944387e-02
 3.83991792e-02 1.51592527e-02 3.77611241e-02 6.82351618e-02
 1.84429287e-02 3.52698225e-02 2.74711888e-02 1.13352280e-02
 4.18367336e-02 3.49611726e-02 3.96777737e-02 1.87618383e-02
 2.87938921e-02 2.21211505e-02 6.71062278e-02 1.84512647e-02
 1.11143652e-02 4.51822379e-02 3.31045745e-02 1.89203971e-02
 5.60296408e-02 2.78662608e-02 3.94564808e-02 3.53912994e-02
 5.32171181e-02 7.89746843e-03 1.73631009e-02 2.26592078e-02
 1.62796887e-02 4.48721460e-03 2.40933578e-02 8.37517574e-03
 5.04365630e-03 3.80914420e-03 1.72672371e-02 1.77931623e-02
 1.79903198e-02 3.08618813e-02 1.97958942e-02 1.32307991e-02
 1.42165757e-02 7.36412325e-03 1.98391340e-02 2.77677528e-03]",[458]
1375,"[0.11877866 0.06197287 0.06613636 0.06933788 0.193093   0.0650984
 0.02668599 0.0126941  0.02275343 0.1262328  0.02117443 0.01182834
 0.09476747 0.00996214 0.02231954 0.02777223 0.02010732 0.0180415
 0.06471367 0.031548   0.02501349 0.0204034  0.02507074 0.06620205
 0.00924732 0.01131783 0.01337093 0.01219941 0.1201943  0.01254059
 0.0765125  0.00791945 0.01001903 0.02945776 0.00899111 0.00334714
 0.00297571 0.01118847 0.00587249 0.00259994 0.01872229 0.01565731
 0.00716967 0.03087695 0.01118261 0.01135376 0.00808361 0.00821495
 0.01245432 0.00168835 0.17103622 0.07716921 0.07448159 0.09671696
 0.10246674 0.0820053  0.03788292 0.01393199 0.03235921 0.10330344
 0.01764743 0.02002055 0.03033663 0.0104113  0.03866582 0.03943522
 0.03619429 0.0181753  0.02988507 0.02282682 0.06615055 0.01827853
 0.01195833 0.05497435 0.02894636 0.02444196 0.0525071  0.01956422
 0.04004692 0.02958619 0.05384614 0.01026296 0.02079819 0.02255236
 0.01668002 0.00458634 0.02244813 0.01012404 0.00507021 0.00397592
 0.01668627 0.01652978 0.00999399 0.02876222 0.02445791 0.01111283
 0.01341972 0.00677673 0.01401926 0.0030837 ]","[3363, 6571, 3982, 3452]"
1379,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.1695163  0.0560681  0.07737211 0.10164104
 0.08094063 0.07567015 0.01844164 0.01435137 0.03495062 0.0549497
 0.02102921 0.02058553 0.02488494 0.01005737 0.03793507 0.02220803
 0.03728066 0.02209591 0.02370263 0.01439981 0.11087112 0.0161697
 0.01115083 0.06796393 0.03184066 0.01712827 0.06907344 0.01811608
 0.06006734 0.05902925 0.05258857 0.00955286 0.03993376 0.04971531
 0.0146971  0.00348872 0.02832522 0.00788962 0.0037427  0.00298355
 0.01041822 0.01508136 0.00966186 0.03285212 0.02147954 0.00762092
 0.01260411 0.00871956 0.01107807 0.00248358]",[]
1380,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.18814873 0.05961615 0.07703227 0.11351552
 0.07981783 0.07090577 0.02347779 0.01446024 0.03352954 0.0956028
 0.01791988 0.03193454 0.02065765 0.0106645  0.04859639 0.03563737
 0.04270638 0.01782399 0.02327166 0.01670944 0.06671798 0.01663964
 0.0098187  0.04534262 0.03258905 0.02425883 0.07974119 0.02340711
 0.02908127 0.03106332 0.04912359 0.00927886 0.02179589 0.0302212
 0.01774929 0.0038442  0.0205371  0.0096026  0.00397917 0.003955
 0.01947841 0.01153443 0.01619224 0.03365921 0.02455628 0.00779514
 0.01646319 0.00706933 0.01006144 0.00332862]",[]
